2025-03-04 23:08:06 | INFO | 清理无效数据
2025-03-04 23:08:06 | SUCCESS | 数据处理完成，剩余47条有效数据
2025-03-04 23:08:06 | INFO | 开始生成图表
2025-03-04 23:08:11 | INFO | 平均功率计算结果: 91.14瓦
2025-03-04 23:08:11 | INFO | 近5次平均功率: 87.64瓦
2025-03-04 23:08:11 | INFO | 近15次平均功率: 104.73瓦
2025-03-04 23:08:12 | SUCCESS | 图表已保存至: 电量图.png
2025-03-04 23:08:12 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-04 23:08:17 | INFO | 准备发送邮件
2025-03-04 23:08:20 | DEBUG | 邮件发送命令返回码: 0
2025-03-04 23:08:20 | SUCCESS | 邮件发送成功
2025-03-04 23:08:20 | INFO | 程序执行完成
2025-03-05 12:55:45 | INFO | 程序启动
2025-03-05 12:55:45 | INFO | 开始读取电量数据文件
2025-03-05 12:55:45 | SUCCESS | 成功读取数据，共49条记录
2025-03-05 12:55:45 | INFO | 开始处理时间数据
2025-03-05 12:55:45 | DEBUG | 计算时间差和能量差
2025-03-05 12:55:45 | DEBUG | 计算功率数据
2025-03-05 12:55:45 | DEBUG | 计算中点时间
2025-03-05 12:55:45 | INFO | 清理无效数据
2025-03-05 12:55:45 | SUCCESS | 数据处理完成，剩余48条有效数据
2025-03-05 12:55:45 | INFO | 开始生成图表
2025-03-05 12:55:50 | INFO | 平均功率计算结果: 89.89瓦
2025-03-05 12:55:50 | INFO | 近5次平均功率: 85.37瓦
2025-03-05 12:55:50 | INFO | 近15次平均功率: 98.24瓦
2025-03-05 12:55:51 | SUCCESS | 图表已保存至: 电量图.png
2025-03-05 12:55:51 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-05 12:55:56 | INFO | 准备发送邮件
2025-03-05 12:56:00 | DEBUG | 邮件发送命令返回码: 0
2025-03-05 12:56:00 | SUCCESS | 邮件发送成功
2025-03-05 12:56:00 | INFO | 程序执行完成
2025-03-05 19:11:48 | INFO | 程序启动
2025-03-05 19:11:48 | INFO | 开始读取电量数据文件
2025-03-05 19:11:48 | SUCCESS | 成功读取数据，共50条记录
2025-03-05 19:11:48 | INFO | 开始处理时间数据
2025-03-05 19:11:48 | DEBUG | 计算时间差和能量差
2025-03-05 19:11:48 | DEBUG | 计算功率数据
2025-03-05 19:11:48 | DEBUG | 计算中点时间
2025-03-05 19:11:48 | INFO | 清理无效数据
2025-03-05 19:11:48 | SUCCESS | 数据处理完成，剩余49条有效数据
2025-03-05 19:11:48 | INFO | 开始生成图表
2025-03-05 19:11:50 | INFO | 平均功率计算结果: 91.10瓦
2025-03-05 19:11:50 | INFO | 近5次平均功率: 107.28瓦
2025-03-05 19:11:50 | INFO | 近15次平均功率: 100.00瓦
2025-03-05 19:11:50 | SUCCESS | 图表已保存至: 电量图.png
2025-03-05 19:11:51 | SUCCESS | 图表已保存至: C:/Users/20695/Desktop/电量图.png
2025-03-05 19:11:56 | INFO | 准备发送邮件
2025-03-05 19:11:58 | DEBUG | 邮件发送命令返回码: 0
2025-03-05 19:11:58 | SUCCESS | 邮件发送成功
2025-03-05 19:11:58 | INFO | 程序执行完成
